frame_id,object_id,class,x1,y1,x2,y2,velocity_m_s
136,63,Car,924,304,960,341,8.006
136,1,Car,524,304,552,321,2.185
137,2,Car,690,301,729,328,2.185
137,63,Car,927,305,960,342,8.835
137,1,Car,524,305,551,321,2.711
138,2,Car,691,302,729,327,2.711
138,63,Car,930,307,960,342,9.202
138,1,Car,524,305,551,321,2.143
138,183,Car,0,303,63,331,0.000
139,2,Car,692,302,729,327,2.711
139,63,Car,932,307,960,342,8.825
139,1,Car,524,305,550,321,2.143
139,183,Car,0,303,54,331,27.000
140,2,Car,692,301,730,328,2.308
140,1,Car,523,304,550,320,2.185
141,2,Car,692,301,732,328,2.308
141,1,Car,522,304,549,320,2.185
141,184,Car,944,308,959,343,0.000
142,2,Car,693,301,732,329,2.711
142,1,Car,522,304,549,321,2.143
142,184,Car,946,309,960,344,10.817
143,2,Car,693,301,733,329,3.120
143,1,Car,522,305,548,321,2.607
144,2,Car,693,301,734,329,3.455
144,1,Car,521,305,547,321,3.000
145,2,Car,694,301,733,328,3.000
145,1,Car,521,305,547,321,3.000
146,2,Car,694,301,734,328,3.000
146,1,Car,521,305,547,321,2.571
147,2,Car,694,300,734,328,2.607
147,1,Car,520,305,547,321,2.711
148,2,Car,695,300,735,329,2.571
148,1,Car,520,305,547,321,1.917
149,2,Car,697,301,734,328,2.607
149,1,Car,521,305,547,321,1.355
150,2,Car,697,302,735,328,2.571
150,1,Car,521,305,547,321,0.857
151,2,Car,699,303,736,328,3.455
152,2,Car,699,303,737,329,4.066
153,2,Car,700,303,738,329,4.474
154,2,Car,700,303,739,330,5.178
154,1,Car,521,306,547,322,0.600
155,2,Car,701,303,738,329,4.066
156,2,Car,702,304,738,329,4.221
157,2,Car,702,305,740,331,4.998
158,2,Car,703,305,742,332,4.998
159,2,Car,705,306,743,332,5.750
160,2,Car,705,306,743,332,4.998
161,2,Car,705,306,744,332,4.792
162,2,Car,704,305,744,333,4.636
162,1,Car,521,310,547,325,1.588
163,2,Car,704,304,744,332,3.662
163,1,Car,521,310,547,325,1.588
164,2,Car,705,304,745,331,3.455
165,2,Car,706,303,746,330,3.455
166,2,Car,707,302,747,329,3.951
167,2,Car,707,302,748,329,4.243
167,1,Car,520,307,548,324,0.765
168,2,Car,709,302,751,330,5.370
168,1,Car,520,307,549,324,0.808
169,2,Car,710,302,752,331,6.371
169,1,Car,520,307,549,324,0.765
170,2,Car,711,302,754,331,7.398
170,1,Car,520,307,549,324,0.765
171,2,Car,710,302,753,331,5.637
171,1,Car,520,307,548,323,0.353
172,2,Car,711,302,753,331,5.143
172,1,Car,521,307,548,323,1.530
173,2,Car,711,303,754,331,4.886
173,1,Car,521,306,548,323,1.825
174,2,Car,712,301,755,330,5.143
174,1,Car,521,306,547,322,1.286
175,2,Car,712,301,755,330,3.030
175,1,Car,521,306,547,322,1.355
176,2,Car,713,301,756,330,3.120
176,1,Car,521,306,547,321,1.767
177,2,Car,715,301,758,330,3.534
177,1,Car,521,306,547,321,1.767
178,2,Car,715,302,759,331,4.714
178,1,Car,520,306,547,322,0.958
179,2,Car,716,303,759,331,4.734
179,1,Car,520,306,547,322,1.212
180,2,Car,716,303,759,332,4.307
180,1,Car,519,307,547,323,1.355
181,2,Car,716,303,760,332,4.221
181,1,Car,520,307,547,323,0.958
182,2,Car,716,302,761,332,4.474
182,1,Car,520,306,546,322,0.857
183,2,Car,716,302,762,332,4.066
183,1,Car,520,306,545,322,1.355
184,2,Car,717,302,763,333,3.455
184,1,Car,519,307,544,322,2.308
185,2,Car,718,303,764,334,3.833
185,1,Car,519,308,544,323,2.143
186,2,Car,719,303,765,334,4.066
186,1,Car,519,309,543,323,2.744
187,2,Car,719,303,766,334,4.371
187,1,Car,518,309,543,323,2.308
188,2,Car,719,303,765,334,3.534
188,1,Car,517,309,543,323,3.120
189,2,Car,719,303,765,334,3.264
189,1,Car,517,309,542,323,3.455
190,2,Car,720,303,765,334,3.264
190,1,Car,517,309,542,323,3.090
191,2,Car,720,303,766,335,2.875
191,1,Car,516,309,542,323,2.499
192,2,Car,720,303,766,334,1.714
192,1,Car,516,309,541,323,2.607
193,2,Car,722,303,767,333,2.185
194,2,Car,723,302,767,333,2.308
195,2,Car,722,301,769,333,3.264
196,2,Car,722,301,769,333,3.264
197,2,Car,721,300,770,333,3.090
197,1,Car,513,306,538,321,3.295
198,2,Car,722,301,770,334,2.875
198,1,Car,513,307,537,322,3.110
199,2,Car,723,302,771,334,3.455
199,1,Car,512,307,537,322,3.110
200,2,Car,725,301,772,334,3.455
200,1,Car,512,307,537,322,2.847
201,2,Car,727,302,774,334,4.734
201,1,Car,512,307,536,322,3.110
202,2,Car,729,302,775,334,5.637
202,1,Car,511,306,537,322,2.937
203,2,Car,730,303,777,335,7.068
203,1,Car,510,306,536,322,3.192
204,2,Car,730,303,776,335,6.776
204,1,Car,510,307,536,322,2.308
205,2,Car,729,304,776,336,5.969
205,1,Car,510,307,536,322,1.714
206,2,Car,732,304,778,336,7.068
206,1,Car,510,308,535,323,1.917
207,2,Car,733,304,779,335,6.653
207,1,Car,509,308,535,323,2.308
208,2,Car,735,303,781,335,6.485
208,1,Car,509,308,534,323,2.308
209,2,Car,735,303,781,334,5.161
209,1,Car,509,308,534,322,2.308
210,2,Car,737,303,784,335,6.000
210,1,Car,509,307,534,322,1.355
211,2,Car,735,302,783,335,5.161
211,1,Car,509,307,534,322,1.286
212,2,Car,734,302,784,336,5.637
212,1,Car,509,308,533,322,1.767
213,2,Car,733,302,783,336,2.711
213,1,Car,509,308,532,322,1.767
214,2,Car,734,302,785,337,3.000
215,2,Car,734,302,786,337,1.767
216,2,Car,736,302,787,336,3.030
217,2,Car,737,301,788,336,1.767
218,2,Car,743,301,792,335,7.298
218,1,Car,507,307,531,321,1.830
219,2,Car,746,301,794,335,9.467
219,1,Car,507,307,530,321,1.830
220,2,Car,748,300,796,335,12.069
